"REC_NO","COLL_DATE","GRAINSIZE","SOIL_HORIZ","SETTING","RELIEF","VEG","LATITUDE","LONGITUDE","HUC_8","TYPEDESC","SOURCE","STUDY","PH","P_ICP40","C_TOT","C_ORG","Date","P_mgkg","Depth","surface","min_depth","max_depth","max_depth_est"
"ST009075","20030716","","Ap","Till plain","","Cropland",47.56974,-99.35402,10160001,"SOIL","Soil","",NA,0.072,NA,NA,2003-07-16,720,"surface","NA",NA,NA,12
"ST009076","20030603","","A","Upland","","Rangeland",46.55559,-103.09369,10130204,"SOIL","Soil","",NA,0.077,NA,NA,2003-06-03,770,"surface","NA",NA,NA,12
"ST009077","20030501","","A","Upland","","Rangeland",46.94699,-102.55816,10130201,"SOIL","Soil","",NA,0.057,NA,NA,2003-05-01,570,"surface","NA",NA,NA,12
"ST009078","20030711","","Bt","Till plain","","Rangeland",47.29867,-98.0263,9020203,"SOIL","Soil","",NA,0.059,NA,NA,2003-07-11,590,"subsurface","NA",NA,NA,30
"ST009079","20030522","","A","Upland","","Rangeland",46.47014,-102.19402,10130204,"SOIL","Soil","",NA,0.066,NA,NA,2003-05-22,660,"surface","NA",NA,NA,12
"ST009080","20030715","","Bt3","Till plain","","CRP",47.48775,-99.70425,10160001,"SOIL","Soil","",NA,0.056,NA,NA,2003-07-15,560,"subsurface","NA",NA,NA,30
"ST009081","20030702","","A","Till plain","","Wildlife refuge",47.16451,-98.80406,10160001,"SOIL","Soil","",NA,0.069,NA,NA,2003-07-02,690,"surface","NA",NA,NA,12
"ST009082","20030623","","Ap","Till plain","","WPA - idle grassland",47.00839,-99.57698,10130103,"SOIL","Soil","",NA,0.071,NA,NA,2003-06-23,710,"surface","NA",NA,NA,12
"ST009083","20030602","","A","Upland","","Rangeland",46.47166,-102.44135,10130204,"SOIL","Soil","",NA,0.07,NA,NA,2003-06-02,700,"surface","NA",NA,NA,12
"ST009084","20030620","","Bk","Till plain","","CRP - grassland",47.03851,-98.7157,10160001,"SOIL","Soil","",NA,0.05,NA,NA,2003-06-20,500,"subsurface","NA",NA,NA,30
"ST009085","20030522","","Btn","Upland","","Rangeland",46.45773,-102.05894,10130203,"SOIL","Soil","",NA,0.042,NA,NA,2003-05-22,420,"subsurface","NA",NA,NA,30
"ST009086","20030507","","Bw","Upland","","Cultivated",46.98631,-102.39982,10130201,"SOIL","Soil","",NA,0.06,NA,NA,2003-05-07,600,"subsurface","NA",NA,NA,30
"ST009087","20030501","","Ap","Upland","","Cultivated",46.95024,-102.75921,10130202,"SOIL","Soil","",NA,0.071,NA,NA,2003-05-01,710,"surface","NA",NA,NA,12
"ST009088","20030604","","Bw","Upland","","Cropland",46.80785,-100.60208,10130103,"SOIL","Soil","",NA,0.068,NA,NA,2003-06-04,680,"subsurface","NA",NA,NA,30
"ST009089","20030627","","Bw1","Outwash plain","","CRP - idle grassland",47.16994,-99.72165,10130103,"SOIL","Soil","",NA,0.077,NA,NA,2003-06-27,770,"subsurface","NA",NA,NA,30
"ST009090","20030620","","A","Till plain","","WPA - idle grassland",47.09683,-99.12479,10160002,"SOIL","Soil","",NA,0.084,NA,NA,2003-06-20,840,"surface","NA",NA,NA,12
"ST009092","20030724","","Bk1","Till plain","","CRP",47.54074,-98.90338,10160001,"SOIL","Soil","",NA,0.043,NA,NA,2003-07-24,430,"subsurface","NA",NA,NA,30
"ST009093","20030715","","Ap","Till plain","","CRP",47.32618,-99.65005,10160002,"SOIL","Soil","",NA,0.066,NA,NA,2003-07-15,660,"surface","NA",NA,NA,12
"ST009094","20030716","","Ap","Till plain","","Cropland",47.54553,-99.52511,10160001,"SOIL","Soil","",NA,0.066,NA,NA,2003-07-16,660,"surface","NA",NA,NA,12
"ST009095","20030623","","C","Till plain","","WPA - idle grassland",47.00839,-99.57698,10130103,"SOIL","Soil","",NA,0.054,NA,NA,2003-06-23,540,"subsurface","NA",NA,NA,30
"ST009096","20030507","","Btn","Upland","","Rangeland",46.76631,-102.05375,10130202,"SOIL","Soil","",NA,0.064,NA,NA,2003-05-07,640,"subsurface","NA",NA,NA,30
"ST009097","20030702","","A","Moraine","","WPA - idle grassland",47.17157,-99.17255,10160002,"SOIL","Soil","",NA,0.139,NA,NA,2003-07-02,1390,"surface","NA",NA,NA,12
"ST009098","20030724","","Cg","Outwash plain","","WPA",47.53057,-98.66148,9020203,"SOIL","Soil","",NA,0.063,NA,NA,2003-07-24,630,"subsurface","NA",NA,NA,30
"ST009099","20030717","","Ap","Till plain","","Cropland",47.39196,-98.58353,9020203,"SOIL","Soil","",NA,0.086,NA,NA,2003-07-17,860,"surface","NA",NA,NA,12
"ST009100","20030730","","C","Outwash plain","","CRP",47.50699,-98.29613,9020203,"SOIL","Soil","",NA,0.078,NA,NA,2003-07-30,780,"subsurface","NA",NA,NA,30
"ST009101","20030627","","A","Outwash plain","","CRP - idle grassland",47.16994,-99.72165,10130103,"SOIL","Soil","",NA,0.091,NA,NA,2003-06-27,910,"surface","NA",NA,NA,12
"ST009102","20030403","","Bk1","River valley","","Cropland",46.66997,-100.76785,10130102,"SOIL","Soil","",NA,0.07,NA,NA,2003-04-03,700,"subsurface","NA",NA,NA,30
"ST009103","20030507","","Ap","Upland","","Cultivated",46.98631,-102.39982,10130201,"SOIL","Soil","",NA,0.099,NA,NA,2003-05-07,990,"surface","NA",NA,NA,12
"ST009104","20030602","","A","Upland","","Rangeland",46.6801,-102.41153,10130202,"SOIL","Soil","",NA,0.07,NA,NA,2003-06-02,700,"surface","NA",NA,NA,12
"ST009105","20030602","","Bt","Upland","","Rangeland",46.47185,-102.44135,10130204,"SOIL","Soil","",NA,0.052,NA,NA,2003-06-02,520,"subsurface","NA",NA,NA,30
"ST009106","20030620","","Bw","Till plain","","WPA - idle grassland",47.09683,-99.12479,10160002,"SOIL","Soil","",NA,0.052,NA,NA,2003-06-20,520,"subsurface","NA",NA,NA,30
"ST009107","20030611","","Ap","Missouri Coteau","","Wildlife",48.38572,-101.9603,10110101,"SOIL","Soil","",NA,0.101,NA,NA,2003-06-11,1010,"surface","NA",NA,NA,12
"ST009108","20030530","","Bt","Upland","","Cropland",48.67511,-101.92871,9010001,"SOIL","Soil","",NA,0.051,NA,NA,2003-05-30,510,"subsurface","NA",NA,NA,30
"ST009109","20030528","","Ap","Till plain","","Cropland",48.61939,-102.81049,10110101,"SOIL","Soil","",NA,0.069,NA,NA,2003-05-28,690,"surface","NA",NA,NA,12
"ST009110","20030610","","Bk","Missouri Coteau","","Wildlife",48.05944,-101.85657,10110101,"SOIL","Soil","",NA,0.075,NA,NA,2003-06-10,750,"subsurface","NA",NA,NA,30
"ST009111","20030529","","Bk1","Upland","","Cropland",48.61178,-100.82102,9010005,"SOIL","Soil","",NA,0.057,NA,NA,2003-05-29,570,"subsurface","NA",NA,NA,30
"ST009112","20030530","","C1","Till plain","","Cropland",48.50256,-103.87854,10060006,"SOIL","Soil","",NA,0.058,NA,NA,2003-05-30,580,"subsurface","NA",NA,NA,30
"ST009113","20030612","","Bw","Valley","","Cropland",48.01268,-100.86379,9010003,"SOIL","Soil","",NA,0.078,NA,NA,2003-06-12,780,"subsurface","NA",NA,NA,30
"ST009114","20030610","","Bk","Coteau","","waterfowl production area",48.22488,-101.81268,9010002,"SOIL","Soil","",NA,0.063,NA,NA,2003-06-10,630,"subsurface","NA",NA,NA,30
"ST009115","20030528","","Ap","Upland","","Cropland",48.967,-101.507,9010003,"SOIL","Soil","",NA,0.065,NA,NA,2003-05-28,650,"surface","NA",NA,NA,12
"ST009116","20030506","","Bw (E?)","Sand plain","","Cropland",48.96736,-103.11845,9010001,"SOIL","Soil","",NA,0.052,NA,NA,2003-05-06,520,"subsurface","NA",NA,NA,30
"ST009117","20030530","","Bk","Upland","","Cropland",48.90034,-101.2137,9010003,"SOIL","Soil","",NA,0.066,NA,NA,2003-05-30,660,"subsurface","NA",NA,NA,30
"ST009118","20030716","","Ap","Till plain","","Cropland",48.34754,-101.44808,9010001,"SOIL","Soil","",NA,0.067,NA,NA,2003-07-16,670,"surface","NA",NA,NA,12
"ST009119","20030603","","Bw1","Outwash plain","","Cropland",48.51013,-103.69151,10110102,"SOIL","Soil","",NA,0.105,NA,NA,2003-06-03,1050,"subsurface","NA",NA,NA,30
"ST009120","20030529","","C","Basin","","Native/Rangeland",48.64117,-100.70975,9010003,"SOIL","Soil","",NA,0.064,NA,NA,2003-05-29,640,"subsurface","NA",NA,NA,30
"ST009121","20030612","","C","Delta","","Rangeland",48.32696,-100.71169,9010005,"SOIL","Soil","",NA,0.066,NA,NA,2003-06-12,660,"subsurface","NA",NA,NA,30
"ST009122","20030528","","A","Upland","","Native/Rangeland",48.87165,-100.55426,9010003,"SOIL","Soil","",NA,0.086,NA,NA,2003-05-28,860,"surface","NA",NA,NA,12
"ST009123","20030610","","Bk","Missouri Coteau","","Rangeland",48.19935,-101.68301,9010002,"SOIL","Soil","",NA,0.067,NA,NA,2003-06-10,670,"subsurface","NA",NA,NA,30
"ST009124","20030729","","Ak","Till plain","","Range",48.06734,-102.50527,10110101,"SOIL","Soil","",NA,0.053,NA,NA,2003-07-29,530,"surface","NA",NA,NA,12
"ST009125","20030611","","Ap","Breaks to valley","","Cropland",48.51593,-101.9181,9010002,"SOIL","Soil","",NA,0.066,NA,NA,2003-06-11,660,"surface","NA",NA,NA,12
"ST009126","20030529","","Ap","Till plain","","Cropland",48.96551,-103.55166,9010001,"SOIL","Soil","",NA,0.078,NA,NA,2003-05-29,780,"surface","NA",NA,NA,12
"ST009127","20030506","","Ap","Sand plain","","Cropland",48.96736,-103.11845,9010001,"SOIL","Soil","",NA,0.05,NA,NA,2003-05-06,500,"surface","NA",NA,NA,12
"ST009128","20030530","","Ap","Till plain","","Cropland",48.50256,-103.87854,10060006,"SOIL","Soil","",NA,0.066,NA,NA,2003-05-30,660,"surface","NA",NA,NA,12
"ST009129","20030716","","Bk","Till plain","","CRP",48.55294,-101.08287,9010005,"SOIL","Soil","",NA,0.064,NA,NA,2003-07-16,640,"subsurface","NA",NA,NA,30
