"REC_NO","COLL_DATE","GRAINSIZE","SOIL_HORIZ","SETTING","RELIEF","VEG","LATITUDE","LONGITUDE","HUC_8","TYPEDESC","SOURCE","STUDY","PH","P_ICP40","C_TOT","C_ORG","Date","P_mgkg","Depth","surface","min_depth","max_depth","max_depth_est"
"ST003416","20000726","","","marsh","","",30.19648,-90.43247,8070204,"SOIL","Soil","",NA,0.05,NA,NA,2000-07-26,500,"","",NA,NA,12
"ST003417","20000726","","","suburban","","",30.40443,-90.32362,8070205,"SOIL","Soil","",NA,0.025,NA,NA,2000-07-26,250,"","",NA,NA,12
"ST003425","20000720","","","woods","","",30.41267,-90.16133,8090201,"SOIL","Soil","",NA,0.03,NA,NA,2000-07-20,300,"","",NA,NA,12
"ST003429","20000714","","","farm field","","",30.59017,-91.75833,8080101,"SOIL","Soil","",NA,0.07,NA,NA,2000-07-14,700,"","",NA,NA,12
"ST003430","20000713","","","farm field","","",30.75267,-91.978,8080102,"SOIL","Soil","",NA,0.03,NA,NA,2000-07-13,300,"","",NA,NA,12
"ST003434","20000713","","","suburban","","",30.76317,-91.31133,8070201,"SOIL","Soil","",NA,0.025,NA,NA,2000-07-13,250,"","",NA,NA,12
"ST003435","20000711","","","farm field","","",30.99567,-91.88033,8080101,"SOIL","Soil","",NA,0.06,NA,NA,2000-07-11,600,"","",NA,NA,12
"ST003437","20000711","","","farm field","","",30.85283,-91.69983,8080101,"SOIL","Soil","",NA,0.055,NA,NA,2000-07-11,550,"","",NA,NA,12
"ST003438","20000711","","","suburban","","",30.7845,-91.62583,8080101,"SOIL","Soil","",NA,0.065,NA,NA,2000-07-11,650,"","",NA,NA,12
"ST003439","20000711","","","suburban","","",30.718,-91.57217,8070100,"SOIL","Soil","",NA,0.06,NA,NA,2000-07-11,600,"","",NA,NA,12
"ST003440","20000711","","","suburban","","",30.61367,-91.45383,8070300,"SOIL","Soil","",NA,0.11,NA,NA,2000-07-11,1100,"","",NA,NA,12
"ST003441","20000629","","","woods","","",30.388,-91.65233,8080101,"SOIL","Soil","",NA,0.075,NA,NA,2000-06-29,750,"","",NA,NA,12
"ST003446","20000628","","","farm field","","",30.31283,-91.87083,8080102,"SOIL","Soil","",NA,0.025,NA,NA,2000-06-28,250,"","",NA,NA,12
"ST003452","20000620","","","farm field","","",32.39657,-91.82217,8050001,"SOIL","Soil","",NA,0.04,NA,NA,2000-06-20,400,"","",NA,NA,12
"ST003454","20000620","","","farm field","","",32.337,-91.84365,8050001,"SOIL","Soil","",NA,0.025,NA,NA,2000-06-20,250,"","",NA,NA,12
"ST003455","20000620","","","farm field","","",32.337,-91.84365,8050001,"SOIL","Soil","",NA,0.025,NA,NA,2000-06-20,250,"","",NA,NA,12
"ST003456","20000619","","","farm field","","",32.38838,-91.0454,8050003,"SOIL","Soil","",NA,0.065,NA,NA,2000-06-19,650,"","",NA,NA,12
"ST003457","20000619","","","farm field","","",32.70015,-91.13172,8050003,"SOIL","Soil","",NA,0.06,NA,NA,2000-06-19,600,"","",NA,NA,12
"ST003458","20000619","","","farm field","","",32.74637,-91.23488,8050003,"SOIL","Soil","",NA,0.04,NA,NA,2000-06-19,400,"","",NA,NA,12
"ST003459","20000614","","","farm field","","",32.9911,-91.23892,8050002,"SOIL","Soil","",NA,0.06,NA,NA,2000-06-14,600,"","",NA,NA,12
"ST003460","20000619","","","farm field","","",32.87195,-91.51015,8050001,"SOIL","Soil","",NA,0.025,NA,NA,2000-06-19,250,"","",NA,NA,12
"ST003461","20000619","","","farm field","","",32.75583,-91.42107,8050002,"SOIL","Soil","",NA,0.04,NA,NA,2000-06-19,400,"","",NA,NA,12
"ST003463","20000620","","","woods","","",32.5225,-91.94055,8050001,"SOIL","Soil","",NA,0.045,NA,NA,2000-06-20,450,"","",NA,NA,12
"ST003464","20000620","","","gravel pit","","",32.71548,-91.97762,8050001,"SOIL","Soil","",NA,0.01,NA,NA,2000-06-20,100,"","",NA,NA,12
"ST003465","20000620","","","woods","","",32.89038,-91.9722,8040202,"SOIL","Soil","",NA,0.01,NA,NA,2000-06-20,100,"","",NA,NA,12
"ST003466","20000620","","","farm field","","",32.74412,-91.80663,8050001,"SOIL","Soil","",NA,0.015,NA,NA,2000-06-20,150,"","",NA,NA,12
"ST003467","20000620","","","farm field","","",32.78158,-91.73852,8050001,"SOIL","Soil","",NA,0.02,NA,NA,2000-06-20,200,"","",NA,NA,12
"ST003468","20000621","","","farm field","","",32.53683,-91.64525,8050001,"SOIL","Soil","",NA,0.03,NA,NA,2000-06-21,300,"","",NA,NA,12
"ST003469","20000621","","","farm field","","",32.90077,-91.64868,8050001,"SOIL","Soil","",NA,0.055,NA,NA,2000-06-21,550,"","",NA,NA,12
"ST003470","20000621","","","farm field","","",32.82757,-91.62657,8050001,"SOIL","Soil","",NA,0.025,NA,NA,2000-06-21,250,"","",NA,NA,12
"ST003471","20000621","","","farm field","","",32.6448,-91.40808,8050002,"SOIL","Soil","",NA,0.035,NA,NA,2000-06-21,350,"","",NA,NA,12
"ST003472","20000621","","","farm field","","",32.61323,-91.36775,8050002,"SOIL","Soil","",NA,0.065,NA,NA,2000-06-21,650,"","",NA,NA,12
"ST003473","20000621","","","farm field","","",32.54293,-91.3687,8050002,"SOIL","Soil","",NA,0.045,NA,NA,2000-06-21,450,"","",NA,NA,12
"ST003474","20000621","","","farm field","","",32.5386,-91.43572,8050002,"SOIL","Soil","",NA,0.05,NA,NA,2000-06-21,500,"","",NA,NA,12
"ST003476","20000621","","","farm field","","",32.11383,-91.17223,8060100,"SOIL","Soil","",NA,0.075,NA,NA,2000-06-21,750,"","",NA,NA,12
"ST003483","20000710","","","farm field","","",30.66733,-92.4863,8080201,"SOIL","Soil","",NA,0.015,NA,NA,2000-07-10,150,"","",NA,NA,12
"ST003489","20000711","","","farm field","","",30.53883,-92.27107,8080201,"SOIL","Soil","",NA,0.02,NA,NA,2000-07-11,200,"","",NA,NA,12
"ST003495","20000712","","","woods","","",30.67023,-92.8494,8080203,"SOIL","Soil","",NA,0.005,NA,NA,2000-07-12,50,"","",NA,NA,12
"ST003500","20000628","","","farm field","","",30.13383,-91.7975,8080102,"SOIL","Soil","",NA,0.055,NA,NA,2000-06-28,550,"","",NA,NA,12
"ST003502","20000628","","","suburban","","",30.09867,-91.84167,8080102,"SOIL","Soil","",NA,0.039,NA,NA,2000-06-28,390,"","",NA,NA,12
"ST003510","20000622","","","urban","","",29.972,-90.1255,8090203,"SOIL","Soil","",NA,0.061,NA,NA,2000-06-22,610,"","",NA,NA,12
"ST003528","20000615","","","marsh","","",30.54017,-91.7635,8080101,"SOIL","Soil","",NA,0.088,NA,NA,2000-06-15,880,"","",NA,NA,12
"ST003532","20000614","","","marsh","","",30.371,-90.55383,8070203,"SOIL","Soil","",NA,0.022,NA,NA,2000-06-14,220,"","",NA,NA,12
"ST003533","20000614","","","marsh","","",30.27217,-90.71067,8070202,"SOIL","Soil","",NA,0.044,NA,NA,2000-06-14,440,"","",NA,NA,12
"ST003542","20000406","","","woods","","",31.08227,-91.6921,8040301,"SOIL","Soil","",NA,0.066,NA,NA,2000-04-06,660,"","",NA,NA,12
"ST003543","20000406","","","farm field","","",31.27498,-91.65055,8060100,"SOIL","Soil","",NA,0.061,NA,NA,2000-04-06,610,"","",NA,NA,12
"ST003544","20000406","","","farm field","","",31.40898,-91.68508,8040306,"SOIL","Soil","",NA,0.055,NA,NA,2000-04-06,550,"","",NA,NA,12
"ST003545","20000406","","","farm field","","",31.42062,-91.59998,8040306,"SOIL","Soil","",NA,0.055,NA,NA,2000-04-06,550,"","",NA,NA,12
"ST003546","20000406","","","farm field","","",31.5488,-91.5799,8040306,"SOIL","Soil","",NA,0.072,NA,NA,2000-04-06,720,"","",NA,NA,12
"ST003547","20000406","","","farm field, suburban","","",31.61137,-91.52888,8040306,"SOIL","Soil","",NA,0.05,NA,NA,2000-04-06,500,"","",NA,NA,12
"ST003548","20000406","","","farm field","","",31.75692,-91.43123,8050003,"SOIL","Soil","",NA,0.055,NA,NA,2000-04-06,550,"","",NA,NA,12
"ST003549","20000406","","","farm field","","",31.83878,-91.55232,8050003,"SOIL","Soil","",NA,0.039,NA,NA,2000-04-06,390,"","",NA,NA,12
"ST003550","20000406","","","farm field","","",31.89667,-91.25007,8050003,"SOIL","Soil","",NA,0.072,NA,NA,2000-04-06,720,"","",NA,NA,12
"ST003551","20000407","","","farm field","","",31.97348,-91.45088,8050003,"SOIL","Soil","",NA,0.039,NA,NA,2000-04-07,390,"","",NA,NA,12
"ST003552","20000407","","","farm field","","",31.98272,-91.56455,8050002,"SOIL","Soil","",NA,0.039,NA,NA,2000-04-07,390,"","",NA,NA,12
"ST003553","20000407","","","farm field","","",31.97563,-91.80722,8050001,"SOIL","Soil","",NA,0.039,NA,NA,2000-04-07,390,"","",NA,NA,12
"ST003554","20000407","","","farm field","","",31.98277,-91.86115,8050001,"SOIL","Soil","",NA,0.022,NA,NA,2000-04-07,220,"","",NA,NA,12
"ST003555","20000424","","","farm field","","",31.21553,-92.42915,8080102,"SOIL","Soil","",NA,0.05,NA,NA,2000-04-24,500,"","",NA,NA,12
"ST003556","20000424","","","farm field","","",31.37535,-92.67105,8080102,"SOIL","Soil","",NA,0.039,NA,NA,2000-04-24,390,"","",NA,NA,12
"ST003558","20000424","","","farm field","","",31.6399,-93.00637,11140207,"SOIL","Soil","",NA,0.061,NA,NA,2000-04-24,610,"","",NA,NA,12
"ST003559","20000424","","","farm field","","",31.80047,-93.01247,11140207,"SOIL","Soil","",NA,0.044,NA,NA,2000-04-24,440,"","",NA,NA,12
"ST003561","20000425","","","farm field","","",32.59055,-93.73182,11140204,"SOIL","Soil","",NA,0.044,NA,NA,2000-04-25,440,"","",NA,NA,12
"ST003562","20000425","","","suburban","","",32.72418,-93.76532,11140202,"SOIL","Soil","",NA,0.017,NA,NA,2000-04-25,170,"","",NA,NA,12
"ST003565","20000425","","","farm field","","",32.97217,-93.85617,11140304,"SOIL","Soil","",NA,0.055,NA,NA,2000-04-25,550,"","",NA,NA,12
"ST003570","20000425","","","farm field","","",32.68583,-93.83568,11140304,"SOIL","Soil","",NA,0.055,NA,NA,2000-04-25,550,"","",NA,NA,12
"ST003573","20000425","","","suburban","","",32.39722,-93.76407,11140206,"SOIL","Soil","",NA,0.017,NA,NA,2000-04-25,170,"","",NA,NA,12
"ST003574","20000426","","","woods","","",32.6866,-93.5792,11140205,"SOIL","Soil","",NA,0.011,NA,NA,2000-04-26,110,"","",NA,NA,12
"ST003575","20000426","","","woods","","",32.82627,-93.53582,11140205,"SOIL","Soil","",NA,0.006,NA,NA,2000-04-26,60,"","",NA,NA,12
"ST003576","20000426","","","woods","","",32.84977,-93.35353,11140203,"SOIL","Soil","",NA,0.017,NA,NA,2000-04-26,170,"","",NA,NA,12
"ST003577","20000426","","","woods","","",32.97077,-93.4117,11140203,"SOIL","Soil","",NA,0.006,NA,NA,2000-04-26,60,"","",NA,NA,12
"ST003578","20000426","","","woods","","",33.00992,-93.38168,11140203,"SOIL","Soil","",NA,0.011,NA,NA,2000-04-26,110,"","",NA,NA,12
"ST003579","20000426","","","woods","","",32.61288,-93.3683,11140203,"SOIL","Soil","",NA,0.011,NA,NA,2000-04-26,110,"","",NA,NA,12
"ST003580","20000426","","","farm field","","",32.39848,-93.56382,11140204,"SOIL","Soil","",NA,0.039,NA,NA,2000-04-26,390,"","",NA,NA,12
"ST003581","20000427","","","woods, suburban","","",32.5299,-93.42047,11140203,"SOIL","Soil","",NA,0.006,NA,NA,2000-04-27,60,"","",NA,NA,12
"ST003610","20000524","","","suburban","","",32.83225,-92.14712,8040202,"SOIL","Soil","",NA,0.023,NA,NA,2000-05-24,230,"","",NA,NA,12
"ST003618","20000525","","","farm field","","",32.64387,-92.04103,8040207,"SOIL","Soil","",NA,0.029,NA,NA,2000-05-25,290,"","",NA,NA,12
"ST003619","20000525","","","farm field","","",32.29612,-92.0878,8040207,"SOIL","Soil","",NA,0.029,NA,NA,2000-05-25,290,"","",NA,NA,12
"ST003621","20000809","","","farm field","","",30.1841,-93.0801,8080203,"SOIL","Soil","",NA,0.012,NA,NA,2000-08-09,120,"","",NA,NA,12
"ST003622","20000809","","","farm field","","",30.1713,-93.1287,8080203,"SOIL","Soil","",NA,0.017,NA,NA,2000-08-09,170,"","",NA,NA,12
"ST003623","20000809","","","farm field","","",30.3996,-92.85635,8080203,"SOIL","Soil","",NA,0.017,NA,NA,2000-08-09,170,"","",NA,NA,12
"ST003626","20000810","","","farm field","","",30.04323,-92.69967,8080202,"SOIL","Soil","",NA,0.017,NA,NA,2000-08-10,170,"","",NA,NA,12
"ST003627","20000809","","","farm field","","",30.3996,-92.85635,8080203,"SOIL","Soil","",NA,0.081,NA,NA,2000-08-09,810,"","",NA,NA,12
"ST003630","20000810","","","farm field","","",30.15445,-92.50768,8080202,"SOIL","Soil","",NA,0.023,NA,NA,2000-08-10,230,"","",NA,NA,12
"ST003631","20000811","","","farm field","","",30.07338,-92.43808,8080202,"SOIL","Soil","",NA,0.017,NA,NA,2000-08-11,170,"","",NA,NA,12
"ST003632","20000811","","","farm field","","",30.07922,-92.28837,8080202,"SOIL","Soil","",NA,0.017,NA,NA,2000-08-11,170,"","",NA,NA,12
"ST003636","20000811","","","farm field","","",30.30988,-92.14232,8080201,"SOIL","Soil","",NA,0.035,NA,NA,2000-08-11,350,"","",NA,NA,12
"ST003659","20000809","","","woods","","",30.11758,-93.287,8080206,"SOIL","Soil","",NA,0.012,NA,NA,2000-08-09,120,"","",NA,NA,12
"ST003661","20000809","","","farm field","","",30.0633,-93.01383,8080202,"SOIL","Soil","",NA,0.023,NA,NA,2000-08-09,230,"","",NA,NA,12
"CR000229","20010731","","","","","high grass marsh",60.29367,-164.74355,19030502,"SOIL","Soil","",NA,0.08,NA,NA,2001-07-31,800,"","",NA,NA,12
"CR000230","20010731","","","","","grass march",60.36661,-164.96783,19030502,"SOIL","Soil","",NA,0.1,NA,NA,2001-07-31,1000,"","",NA,NA,12
"CR000231","20010731","","","","","marsh,high grass",60.12964,-164.44655,19030502,"SOIL","Soil","",NA,0.11,NA,NA,2001-07-31,1100,"","",NA,NA,12
"CR000232","20010731","","","","","moss,tundra,marsh",60.32391,-164.50691,19030502,"SOIL","Soil","",NA,0.075,NA,NA,2001-07-31,750,"","",NA,NA,12
"CR000233","20010731","","","","","low grass/tundra",60.12746,-164.34328,19030502,"SOIL","Soil","",NA,0.13,NA,NA,2001-07-31,1300,"","",NA,NA,12
"CR000234","20010731","","","","","",60.12418,-164.35303,19030502,"SOIL","Soil","",NA,0.135,NA,NA,2001-07-31,1350,"","",NA,NA,12
"CR000235","20010731","","","","","",60.12418,-164.35303,19030502,"SOIL","Soil","",NA,0.185,NA,NA,2001-07-31,1850,"","",NA,NA,12
"CR000236","20010731","","","","","moss,tundra,marsh",60.17617,-164.31604,19030502,"SOIL","Soil","",NA,0.09,NA,NA,2001-07-31,900,"","",NA,NA,12
"CR000247","20010731","","","","","grass",60.45228,-165.05569,19030502,"SOIL","Soil","",NA,0.08,NA,NA,2001-07-31,800,"","",NA,NA,12
"CR000248","20010730","","","","","grass,tundra",60.7077,-164.42924,19030502,"SOIL","Soil","",NA,0.125,NA,NA,2001-07-30,1250,"","",NA,NA,12
"CR000249","20010729","","","","","marsh",60.86293,-164.42192,19030502,"SOIL","Soil","",NA,0.1,NA,NA,2001-07-29,1000,"","",NA,NA,12
"CR000250","20010730","","","","","high grass",60.54006,-164.35229,19030502,"SOIL","Soil","",NA,0.06,NA,NA,2001-07-30,600,"","",NA,NA,12
"CR000251","20010804","","","","","moss,lychen,tundra",60.73428,-164.05705,19030502,"SOIL","Soil","",NA,0.065,NA,NA,2001-08-04,650,"","",NA,NA,12
"CR000252","20010729","","","","","moss lichen tundra",60.72396,-164.24095,19030502,"SOIL","Soil","",NA,0.05,NA,NA,2001-07-29,500,"","",NA,NA,12
"CR000253","20010729","","","","","marsh,high grass",60.8738,-164.12561,19030502,"SOIL","Soil","",NA,0.085,NA,NA,2001-07-29,850,"","",NA,NA,12
"CR000255","20010801","","","","","dry tundra",56.70419,-159.07189,19030201,"SOIL","Soil","",NA,0.165,NA,NA,2001-08-01,1650,"","",NA,NA,12
"CR000259","20010723","","","","","muskegg,lychen",62.52972,-165.70734,19040805,"SOIL","Soil","",NA,0.08,NA,NA,2001-07-23,800,"","",NA,NA,12
"CR000260","20010726","","","","","grass small brush",61.5373,-165.05939,19040805,"SOIL","Soil","",NA,0.13,NA,NA,2001-07-26,1300,"","",NA,NA,12
"CR000261","20010727","","","","","marsh,tundra",61.2858,-164.28903,19040805,"SOIL","Soil","",NA,0.085,NA,NA,2001-07-27,850,"","",NA,NA,12
"CR000262","20010805","","","","","",61.1891,-162.57209,19030502,"SOIL","Soil","",NA,0.075,NA,NA,2001-08-05,750,"","",NA,NA,12
"CR000268","20010802","","","","","",60.79192,-161.63857,19030502,"SOIL","Soil","",NA,0.1,NA,NA,2001-08-02,1000,"","",NA,NA,12
"CR000269","20010803","","","","","",60.26316,-161.73372,19030502,"SOIL","Soil","",NA,0.12,NA,NA,2001-08-03,1200,"","",NA,NA,12
"CR000270","20010804","","","","","moss,lichen,tundra",60.04396,-161.36208,19030502,"SOIL","Soil","",NA,0.07,NA,NA,2001-08-04,700,"","",NA,NA,12
"CR000271","20010802","","","","","",60.64486,-162.23967,19030502,"SOIL","Soil","",NA,0.075,NA,NA,2001-08-02,750,"","",NA,NA,12
"CR000274","20010724","","","","","",62.45414,-164.61191,19040805,"SOIL","Soil","",NA,0.085,NA,NA,2001-07-24,850,"","",NA,NA,12
"CR000275","20010723","","","","","",62.66138,-164.01988,19040805,"SOIL","Soil","",NA,0.08,NA,NA,2001-07-23,800,"","",NA,NA,12
"CR000276","20010724","","","","","dry tundra",58.883,-157.5146,19030303,"SOIL","Soil","",NA,0.06,NA,NA,2001-07-24,600,"","",NA,NA,12
"CR000277","20010806","","","","","dry tundra",58.77028,-158.92033,19030304,"SOIL","Soil","",NA,0.1,NA,NA,2001-08-06,1000,"","",NA,NA,12
"CR000281","20010803","","","","","dry tundra",57.64316,-157.68841,19030202,"SOIL","Soil","",NA,0.075,NA,NA,2001-08-03,750,"","",NA,NA,12
"CR000283","20010802","","","","","",60.86385,-163.57726,19030502,"SOIL","Soil","",NA,0.075,NA,NA,2001-08-02,750,"","",NA,NA,12
"CR000284","20010803","","","","","grass marsh",60.02108,-162.75517,19030502,"SOIL","Soil","",NA,0.08,NA,NA,2001-08-03,800,"","",NA,NA,12
"CR000285","20010803","","","","","grass marsh",60.02108,-162.75517,19030502,"SOIL","Soil","",NA,0.08,NA,NA,2001-08-03,800,"","",NA,NA,12
"CR000290","20010727","","","","","highland",61.40174,-164.54025,19040805,"SOIL","Soil","",NA,0.095,NA,NA,2001-07-27,950,"","",NA,NA,12
"CR000291","20010805","","","","","",61.37723,-162.95707,19030502,"SOIL","Soil","",NA,0.08,NA,NA,2001-08-05,800,"","",NA,NA,12
"CR000292","20010802","","","","","dry tundra",58.46337,-156.81199,19030204,"SOIL","Soil","",NA,0.09,NA,NA,2001-08-02,900,"","",NA,NA,12
"CR000293","20010727","","","","","dry tundra",58.87921,-156.64063,19030204,"SOIL","Soil","",NA,0.045,NA,NA,2001-07-27,450,"","",NA,NA,12
"CR000299","20010802","","","","","",60.63722,-161.71515,19030502,"SOIL","Soil","",NA,0.07,NA,NA,2001-08-02,700,"","",NA,NA,12
"CR000301","20010803","","","","","low grass/tundra",60.4681,-162.93874,19030502,"SOIL","Soil","",NA,0.1,NA,NA,2001-08-03,1000,"","",NA,NA,12
"CR000308","20010727","","","","","",61.29765,-164.71243,19040805,"SOIL","Soil","",NA,0.09,NA,NA,2001-07-27,900,"","",NA,NA,12
"CR000312","20010810","","","","","1000 hilly tundra w/ alder",60.20002,-158.6306,19030301,"SOIL","Soil","",NA,0.095,NA,NA,2001-08-10,950,"","",NA,NA,12
"CR000315","20010802","","","","","",60.63187,-161.04314,19030502,"SOIL","Soil","",NA,0.09,NA,NA,2001-08-02,900,"","",NA,NA,12
"CR000316","20010801","","","","","grass",56.73458,-158.86723,19030201,"SOIL","Soil","",NA,0.185,NA,NA,2001-08-01,1850,"","",NA,NA,12
"CR000320","20010728","","","","","marsh,tundra",61.03263,-164.70261,19040805,"SOIL","Soil","",NA,0.075,NA,NA,2001-07-28,750,"","",NA,NA,12
"CR000321","20010726","","","","","tundra",61.63734,-164.94705,19040805,"SOIL","Soil","",NA,0.09,NA,NA,2001-07-26,900,"","",NA,NA,12
"CR000322","20010805","","","","","peat, berries,grass,moss, liche",61.34289,-162.62322,19030502,"SOIL","Soil","",NA,0.095,NA,NA,2001-08-05,950,"","",NA,NA,12
"CR000323","20010802","","","","","dry tundra",58.03826,-157.09897,19030203,"SOIL","Soil","",NA,0.135,NA,NA,2001-08-02,1350,"","",NA,NA,12
"CR000326","20010810","","","","","low grass/low alder/turdra/few",60.02213,-158.41905,19030301,"SOIL","Soil","",NA,0.04,NA,NA,2001-08-10,400,"","",NA,NA,12
"CR000329","20010802","","","","","",60.6984,-162.0881,19030502,"SOIL","Soil","",NA,0.06,NA,NA,2001-08-02,600,"","",NA,NA,12
"CR000334","20010728","","","","","short grass",61.06007,-165.02986,19040805,"SOIL","Soil","",NA,0.105,NA,NA,2001-07-28,1050,"","",NA,NA,12
"CR000335","20010724","","","","","grass,small brush",62.55027,-164.41295,19040805,"SOIL","Soil","",NA,0.06,NA,NA,2001-07-24,600,"","",NA,NA,12
"CR000336","20010723","","","","","marsh",62.8005,-164.61014,19040805,"SOIL","Soil","",NA,0.09,NA,NA,2001-07-23,900,"","",NA,NA,12
"CR000337","20010805","","","","","moss,peat,lichen",61.23204,-162.01701,19030502,"SOIL","Soil","",NA,0.1,NA,NA,2001-08-05,1000,"","",NA,NA,12
"CR000338","20010803","","","","","dry tundra",58.14286,-156.80255,19030203,"SOIL","Soil","",NA,0.095,NA,NA,2001-08-03,950,"","",NA,NA,12
"CR000342","20010802","","","","","dry tundra",57.971,-157.07887,19030203,"SOIL","Soil","",NA,0.125,NA,NA,2001-08-02,1250,"","",NA,NA,12
"CR000344","20010803","","","","","",60.09019,-162.53007,19030502,"SOIL","Soil","",NA,0.085,NA,NA,2001-08-03,850,"","",NA,NA,12
"CR000345","20010802","","","","","grass,moss,berries,tundra",60.74808,-162.53502,19030502,"SOIL","Soil","",NA,0.115,NA,NA,2001-08-02,1150,"","",NA,NA,12
"CR000346","20010804","","","","","moss/lichen",60.86702,-162.54713,19030502,"SOIL","Soil","",NA,0.04,NA,NA,2001-08-04,400,"","",NA,NA,12
"CR000352","20010724","","","","","grass",62.30956,-164.27907,19040805,"SOIL","Soil","",NA,0.07,NA,NA,2001-07-24,700,"","",NA,NA,12
"CR000353","20010805","","","","","",61.20971,-162.72108,19030502,"SOIL","Soil","",NA,0.1,NA,NA,2001-08-05,1000,"","",NA,NA,12
"CR000354","20010727","","","","","dry tundra",58.9552,-157.96938,19030303,"SOIL","Soil","",NA,0.08,NA,NA,2001-07-27,800,"","",NA,NA,12
"CR000359","20010802","","","","","grass,moss,tundra",60.62911,-162.93132,19030502,"SOIL","Soil","",NA,0.075,NA,NA,2001-08-02,750,"","",NA,NA,12
"CR000360","20010803","","","","","grass marsh",60.02108,-162.75517,19030502,"SOIL","Soil","",NA,0.08,NA,NA,2001-08-03,800,"","",NA,NA,12
"CR000367","20010726","","","","","grass, tundra",61.43919,-165.05482,19040805,"SOIL","Soil","",NA,0.1,NA,NA,2001-07-26,1000,"","",NA,NA,12
"CR000368","20010728","","","","","grass tundra",61.03858,-164.61488,19040805,"SOIL","Soil","",NA,0.08,NA,NA,2001-07-28,800,"","",NA,NA,12
"CR000369","20010727","","","","","marsh,tundra",61.34839,-164.33983,19040805,"SOIL","Soil","",NA,0.085,NA,NA,2001-07-27,850,"","",NA,NA,12
"CR000371","20010810","","","","","tundra/marshland",60.1306,-157.57832,19030301,"SOIL","Soil","",NA,0.055,NA,NA,2001-08-10,550,"","",NA,NA,12
"CR000373","20010804","","","","","tall grass",60.12754,-161.05365,19030502,"SOIL","Soil","",NA,0.075,NA,NA,2001-08-04,750,"","",NA,NA,12
"CR000374","20010802","","","","","",60.80412,-163.24879,19030502,"SOIL","Soil","",NA,0.045,NA,NA,2001-08-02,450,"","",NA,NA,12
"CR000375","20010724","","","","","grass",62.54089,-165.03003,19040805,"SOIL","Soil","",NA,0.085,NA,NA,2001-07-24,850,"","",NA,NA,12
"CR000380","20010725","","","","","grass, small brush",62.25232,-164.32792,19040805,"SOIL","Soil","",NA,0.06,NA,NA,2001-07-25,600,"","",NA,NA,12
"CR000381","20010725","","","","","grass, small brush",62.25232,-164.32792,19040805,"SOIL","Soil","",NA,0.055,NA,NA,2001-07-25,550,"","",NA,NA,12
"CR000382","20010727","","","","","grass,tundra",61.37768,-164.73532,19040805,"SOIL","Soil","",NA,0.095,NA,NA,2001-07-27,950,"","",NA,NA,12
"CR000383","20010723","","","","","tundra",58.45005,-158.82017,19030304,"SOIL","Soil","",NA,0.08,NA,NA,2001-07-23,800,"","",NA,NA,12
"CR000386","20010813","","","","","low berry tundra",60.14645,-157.47703,19030301,"SOIL","Soil","",NA,0.07,NA,NA,2001-08-13,700,"","",NA,NA,12
"CR000389","20010802","","","","","",60.70823,-163.15991,19030502,"SOIL","Soil","",NA,0.065,NA,NA,2001-08-02,650,"","",NA,NA,12
"CR000393","20010726","","","","","",61.82886,-165.91843,19040805,"SOIL","Soil","",NA,0.095,NA,NA,2001-07-26,950,"","",NA,NA,12
"CR000394","20010722","","","","","marsh",62.87705,-164.28384,19040805,"SOIL","Soil","",NA,0.09,NA,NA,2001-07-22,900,"","",NA,NA,12
"CR000395","20010728","","","","","grass, tundra",61.201,-163.69212,19030502,"SOIL","Soil","",NA,0.075,NA,NA,2001-07-28,750,"","",NA,NA,12
"CR000396","20010805","","","","","",61.02212,-162.0139,19030502,"SOIL","Soil","",NA,0.06,NA,NA,2001-08-05,600,"","",NA,NA,12
"CR000397","20010723","","","","","",58.81443,-159.4557,19030305,"SOIL","Soil","",NA,0.1,NA,NA,2001-07-23,1000,"","",NA,NA,12
"CR000401","20010802","","","","","dry tundra",57.65651,-157.1046,19030202,"SOIL","Soil","",NA,0.125,NA,NA,2001-08-02,1250,"","",NA,NA,12
"CR000402","20010831","","","","","grass/moss",60.03253,-161.74675,19030502,"SOIL","Soil","",NA,0.095,NA,NA,2001-08-31,950,"","",NA,NA,12
"CR000403","20010803","","","","","grass,moss,lichen,tundra",60.03761,-162.85307,19030502,"SOIL","Soil","",NA,0.075,NA,NA,2001-08-03,750,"","",NA,NA,12
"CR000404","20010802","","","","","",60.63698,-162.35722,19030502,"SOIL","Soil","",NA,0.055,NA,NA,2001-08-02,550,"","",NA,NA,12
"CR000405","20010725","","","","","marsh,grass",62.03353,-165.38315,19040805,"SOIL","Soil","",NA,0.08,NA,NA,2001-07-25,800,"","",NA,NA,12
"CR000410","20010802","","","","","dry tundra",58.03441,-157.36131,19030203,"SOIL","Soil","",NA,0.07,NA,NA,2001-08-02,700,"","",NA,NA,12
"CR000415","20010803","","","","","dry tundra",57.81036,-157.45911,19030202,"SOIL","Soil","",NA,0.075,NA,NA,2001-08-03,750,"","",NA,NA,12
"CR000416","20010802","","","","","",60.54147,-161.46844,19030502,"SOIL","Soil","",NA,0.065,NA,NA,2001-08-02,650,"","",NA,NA,12
"CR000418","20010803","","","","","marsh,swamp",60.20934,-162.28548,19030502,"SOIL","Soil","",NA,0.08,NA,NA,2001-08-03,800,"","",NA,NA,12
"CR000421","20010726","","","","","marsh",61.3556,-165.70271,19040805,"SOIL","Soil","",NA,0.155,NA,NA,2001-07-26,1550,"","",NA,NA,12
